customer_id,firstName,lastName,email
1,Lisa,Jones,lisa.jones@hotmail.com
2,Richard,Jackson,richard.jackson@outlook.com
3,,Brown,.Brown@domain
4,,Moore,.moore@test.com
5,Richard,Martinez,Richard.Martinez@nodomain
6,Thomas,,thomas.@mail.org
7,Emily,,@example.com
8,Karen,Anderson,Karen.Anderson@domain
9,,Thomas,@mail.org
10,Thomas,Garcia,
11,Sarah,Wilson,Sarah.Wilsonhotmail.com
12,James,Williams,James.Williamsexample.com
CUST12,Betty,Gonzalez,betty.gonzalez@test.com
14,Thomas,Hernandez,Thomas.Hernandez@domain
15,Karen,Williams,
16,Barbara,Jones,Barbara.Jones@domain
17,Michael,Moore,Michael.Mooreoutlook.com
18,David,Moore,David.Moore@nodomain
,William,Hernandez,william.hernandez@gmail.com
20,,Taylor,.Taylortest.com
21,Jane,Lopez,
22,Lisa,Rodriguez,lisa.rodriguez@mail.org
,Michael,Gonzalez,michael.gonzalez@yahoo.com
24,Nancy,,nancy.@example.com
25,Richard,,richard.@hotmail.com
,,Davis,.davis@company.com
27,,Taylor,.Tayloroutlook.com
28,Emily,Wilson,emily.wilson@yahoo.com
29,INVALID,Thomas,INVALID.Thomashotmail.com
30,Richard,Brown,@gmail.com
31,Richard,Garcia,@mail.org
,William,Smith,william.smith@company.com
,Robert,Moore,robert.moore@mail.org
CUST33,Nancy,Hernandez,nancy.hernandez@gmail.com
35,,,@example.com
36,Jane,Garcia,@example.com
37,,,.@domain
38,Sarah,Lopez,Sarah.Lopezmail.org
,John,Miller,john.miller@yahoo.com
40,James,Martin,james.martin@outlook.com
41,Emily,Gonzalez,Emily.Gonzalez@nodomain
42,Betty,Thomas,betty.thomas@company.com
43,,Gonzalez,.gonzalez@mail.org
44,Betty,Jackson,betty.jackson@mail.org
45,Nancy,Taylor,Nancy.Taylormail.org
46,Joseph,Martinez,Joseph.Martinezoutlook.com
47,Jessica,,Jessica.test.com
48,,Williams,
49,Emily,Martin,Emily.Martintest.com
50,Linda,Jones,@hotmail.com
51,,Hernandez,.hernandez@company.com
52,INVALID,Taylor,INVALID.Taylor@domain
53,John,,John.@domain
54,David,Taylor,david.taylor@hotmail.com
55,John,Wilson,john.wilson@gmail.com
,,Moore,.moore@outlook.com
57,Barbara,Garcia,Barbara.Garcia@nodomain
58,,Smith,.Smith@domain
59,Michael,Rodriguez,Michael.Rodriguez@nodomain
60,Charles,Martinez,@example.com
61,Richard,Martinez,
62,Nancy,Anderson,
63,David,Johnson,David.Johnson@domain
64,Robert,,@outlook.com
,Linda,Davis,linda.davis@test.com
66,Robert,,robert.@gmail.com
CUST66,Barbara,,barbara.@hotmail.com
68,,Martinez,.martinez@gmail.com
69,William,Gonzalez,william.gonzalez@yahoo.com
70,John,Wilson,@hotmail.com
71,Sarah,Brown,sarah.brown@example.com
72,Emily,Brown,
73,Lisa,Miller,lisa.miller@example.com
,Richard,Hernandez,richard.hernandez@example.com
CUST74,Joseph,Davis,joseph.davis@company.com
76,Michael,Jones,
CUST76,Emily,Anderson,emily.anderson@example.com
78,Joseph,Lopez,Joseph.Lopezyahoo.com
79,Sarah,,@mail.org
80,Charles,Garcia,Charles.Garcia@nodomain
,Jane,Williams,jane.williams@hotmail.com
82,Lisa,Hernandez,Lisa.Hernandez@domain
83,Charles,Thomas,Charles.Thomas@nodomain
84,Linda,Taylor,linda.taylor@test.com
,Emily,Lopez,emily.lopez@company.com
86,Lisa,Davis,
87,Emily,Jackson,emily.jackson@outlook.com
88,,Gonzalez,.gonzalez@test.com
,Michael,Jones,michael.jones@mail.org
90,Michael,Smith,Michael.Smith@domain
91,INVALID,Smith,
,Barbara,Martinez,barbara.martinez@mail.org
CUST92,Linda,Lopez,linda.lopez@yahoo.com
94,Joseph,Rodriguez,
95,Jane,Martin,jane.martin@example.com
96,,Martin,.Martin@domain
97,Karen,Gonzalez,karen.gonzalez@example.com
98,Jane,Lopez,jane.lopez@test.com
99,Robert,Lopez,robert.lopez@example.com
100,Richard,Jackson,Richard.Jackson@nodomain
101,Barbara,Davis,Barbara.Davis@domain
CUST101,Richard,Thomas,richard.thomas@gmail.com
103,John,Lopez,John.Lopez@domain
104,John,Martinez,john.martinez@hotmail.com
105,William,Williams,william.williams@outlook.com
106,Karen,Miller,karen.miller@outlook.com
107,Lisa,Garcia,lisa.garcia@mail.org
,Nancy,Williams,nancy.williams@mail.org
109,Richard,Davis,Richard.Davisgmail.com
110,,Rodriguez,.Rodriguez@nodomain
,John,Davis,john.davis@hotmail.com
112,David,Martinez,david.martinez@test.com
113,INVALID,Rodriguez,invalid.rodriguez@test.com
114,Richard,Smith,
115,Michael,Thomas,@company.com
116,John,Jackson,John.Jacksoncompany.com
117,Lisa,,Lisa.example.com
CUST117,Lisa,Smith,lisa.smith@gmail.com
,Nancy,,nancy.@example.com
,Charles,Jones,charles.jones@example.com
121,John,Williams,john.williams@company.com
CUST121,Jane,Williams,jane.williams@mail.org
123,INVALID,Johnson,@gmail.com
CUST123,,Gonzalez,.gonzalez@example.com
125,Emily,Jones,emily.jones@mail.org
126,Lisa,Lopez,Lisa.Lopez@domain
127,,Martinez,.Martinezgmail.com
128,David,Hernandez,David.Hernandez@domain
,,Martin,.martin@gmail.com
130,Nancy,Jackson,@gmail.com
131,David,,david.@yahoo.com
,,Jones,.jones@hotmail.com
133,Betty,Wilson,Betty.Wilsonoutlook.com
134,William,Moore,William.Moorecompany.com
135,Karen,Jones,karen.jones@mail.org
136,Richard,Jackson,@yahoo.com
CUST136,Michael,Moore,michael.moore@hotmail.com
CUST137,Betty,Anderson,betty.anderson@company.com
139,Thomas,Jackson,Thomas.Jacksongmail.com
140,Jessica,Garcia,jessica.garcia@example.com
141,,Williams,.Williams@domain
142,Sarah,Martinez,Sarah.Martinez@nodomain
143,Betty,Smith,Betty.Smithhotmail.com
144,Thomas,Anderson,thomas.anderson@test.com
145,Richard,Martinez,Richard.Martinez@nodomain
146,INVALID,Garcia,INVALID.Garcia@domain
147,Betty,Moore,betty.moore@mail.org
148,Jane,Davis,Jane.Davishotmail.com
,Nancy,Taylor,nancy.taylor@hotmail.com
150,Richard,,richard.@outlook.com
151,Nancy,Thomas,@test.com
152,David,Anderson,david.anderson@company.com
153,Barbara,Williams,barbara.williams@yahoo.com
154,David,Williams,david.williams@mail.org
155,John,Martin,John.Martin@nodomain
156,Jessica,Rodriguez,Jessica.Rodriguezmail.org
157,Nancy,Davis,
,Michael,Thomas,michael.thomas@example.com
159,,,.@gmail.com
160,John,Taylor,john.taylor@test.com
161,Thomas,Rodriguez,thomas.rodriguez@mail.org
162,David,,David.@domain
163,Nancy,Lopez,nancy.lopez@yahoo.com
164,John,Jones,
165,John,,john.@test.com
166,Jessica,Johnson,@gmail.com
167,Richard,Jackson,Richard.Jackson@domain
168,John,Smith,
,,Johnson,.johnson@hotmail.com
170,Richard,,richard.@yahoo.com
171,,,.mail.org
CUST171,Lisa,Jackson,lisa.jackson@outlook.com
173,,Moore,.Moore@nodomain
CUST173,Jessica,Hernandez,jessica.hernandez@company.com
175,Robert,Johnson,
176,Sarah,Moore,sarah.moore@outlook.com
,Sarah,Hernandez,sarah.hernandez@hotmail.com
178,John,Rodriguez,john.rodriguez@hotmail.com
179,Barbara,Anderson,Barbara.Anderson@nodomain
CUST179,Nancy,Lopez,nancy.lopez@mail.org
181,Karen,Jones,
182,Joseph,Jones,Joseph.Jonesexample.com
183,Robert,Hernandez,
184,William,Hernandez,@test.com
185,Michael,Jones,Michael.Jones@nodomain
186,James,Lopez,James.Lopez@domain
187,Michael,Miller,Michael.Millercompany.com
188,,Martinez,.Martinez@nodomain
189,John,Wilson,john.wilson@example.com
190,Lisa,Taylor,lisa.taylor@yahoo.com
191,,Smith,.smith@yahoo.com
CUST191,Jane,Moore,jane.moore@mail.org
193,Robert,Johnson,Robert.Johnson@domain
,Karen,,karen.@hotmail.com
195,Betty,Martin,
196,,Smith,.Smithcompany.com
CUST196,Karen,Brown,karen.brown@company.com
,Nancy,Hernandez,nancy.hernandez@mail.org
199,Karen,Jones,Karen.Jonesoutlook.com
200,,Gonzalez,.gonzalez@test.com
201,David,,David.@domain
202,James,Davis,
CUST202,Thomas,Lopez,thomas.lopez@gmail.com
204,INVALID,,INVALID.@domain
205,Charles,Wilson,Charles.Wilson@nodomain
,Joseph,Jackson,joseph.jackson@example.com
CUST206,Nancy,Hernandez,nancy.hernandez@mail.org
208,John,Jones,John.Jones@nodomain
209,Sarah,Moore,Sarah.Moore@domain
210,Thomas,,Thomas.@nodomain
211,Karen,Anderson,@hotmail.com
212,Barbara,Moore,Barbara.Moore@nodomain
,,Lopez,.lopez@company.com
214,Lisa,Davis,Lisa.Davishotmail.com
215,Robert,Taylor,Robert.Taylor@nodomain
216,William,Wilson,
217,Richard,,richard.@gmail.com
,Robert,Anderson,robert.anderson@gmail.com
219,Sarah,,@yahoo.com
CUST219,Joseph,Miller,joseph.miller@yahoo.com
221,Richard,Martinez,richard.martinez@mail.org
CUST221,Jane,Johnson,jane.johnson@test.com
223,David,Rodriguez,David.Rodriguez@domain
CUST223,,Thomas,.thomas@hotmail.com
225,John,Martinez,John.Martinez@nodomain
226,,Wilson,
227,INVALID,Johnson,invalid.johnson@yahoo.com
228,Charles,Thomas,@company.com
229,William,Smith,@yahoo.com
230,Charles,Brown,@example.com
231,,Lopez,.Lopez@nodomain
232,,Rodriguez,.Rodriguez@domain
233,Michael,Gonzalez,Michael.Gonzalezgmail.com
234,,Johnson,.johnson@example.com
235,INVALID,Anderson,invalid.anderson@gmail.com
CUST235,Joseph,Garcia,joseph.garcia@test.com
CUST236,,Williams,.williams@gmail.com
238,Michael,Jones,Michael.Jones@nodomain
CUST238,Joseph,Rodriguez,joseph.rodriguez@yahoo.com
CUST239,Sarah,Martinez,sarah.martinez@yahoo.com
241,,Anderson,@test.com
,Thomas,Brown,thomas.brown@company.com
CUST242,Sarah,,sarah.@test.com
244,,Jackson,
245,Jane,Garcia,@yahoo.com
246,Charles,Moore,Charles.Moore@domain
247,Thomas,Brown,thomas.brown@company.com
248,James,Smith,James.Smithexample.com
249,Lisa,,lisa.@example.com
250,Emily,Martin,Emily.Martinoutlook.com
CUST250,Barbara,Williams,barbara.williams@gmail.com
252,Charles,,charles.@test.com
,John,Rodriguez,john.rodriguez@test.com
254,Robert,,Robert.@nodomain
255,Joseph,,Joseph.@domain
256,Linda,Lopez,linda.lopez@test.com
257,Sarah,Martinez,sarah.martinez@company.com
258,Robert,Martinez,Robert.Martinez@domain
259,David,Lopez,david.lopez@yahoo.com
260,David,Martin,
261,Karen,Wilson,karen.wilson@test.com
262,Karen,Smith,Karen.Smith@domain
263,,Johnson,.johnson@example.com
264,Barbara,Jackson,barbara.jackson@company.com
265,Robert,Jones,Robert.Jones@domain
266,,Davis,.davis@test.com
267,Jessica,Taylor,
CUST267,John,Taylor,john.taylor@test.com
269,William,Moore,William.Moore@nodomain
270,Jane,Rodriguez,jane.rodriguez@outlook.com
271,Thomas,Taylor,thomas.taylor@outlook.com
272,Thomas,Martin,thomas.martin@outlook.com
,Jessica,Garcia,jessica.garcia@example.com
274,,Johnson,@gmail.com
275,Thomas,Williams,thomas.williams@mail.org
,Emily,Wilson,emily.wilson@hotmail.com
CUST276,Jessica,Davis,jessica.davis@gmail.com
278,Karen,Williams,
279,,Davis,.davis@example.com
280,David,Martinez,@hotmail.com
281,Jessica,Gonzalez,Jessica.Gonzalez@domain
CUST281,William,Garcia,william.garcia@yahoo.com
283,Sarah,Martinez,sarah.martinez@mail.org
284,Thomas,Smith,
CUST284,Michael,Martinez,michael.martinez@mail.org
286,Emily,,Emily.hotmail.com
287,Jessica,Davis,Jessica.Daviscompany.com
CUST287,Emily,Rodriguez,emily.rodriguez@company.com
289,Richard,Hernandez,Richard.Hernandez@nodomain
290,,Rodriguez,@yahoo.com
291,William,Taylor,william.taylor@test.com
292,Karen,Moore,@hotmail.com
293,Betty,Wilson,Betty.Wilsonyahoo.com
CUST293,James,Hernandez,james.hernandez@gmail.com
295,Emily,Martin,emily.martin@example.com
,Betty,Brown,betty.brown@example.com
297,Barbara,,Barbara.@nodomain
298,Barbara,,Barbara.@domain
299,,,.@yahoo.com
300,Charles,Miller,Charles.Millertest.com
CUST300,Charles,Martin,charles.martin@company.com
302,Thomas,Hernandez,
303,Emily,,emily.@test.com
CUST303,Linda,Martin,linda.martin@test.com
305,David,Martin,David.Martin@nodomain
306,Robert,Garcia,robert.garcia@hotmail.com
